Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
117 St. Bonaventure vs.  28 North Carolina,North Carolina 82-71 (84%) [70],6:00 pm FOX Sports 1,"Fort Myers, FL Suncoast Credit Union Arena",41.717,,
142 Middle Tennessee vs.  89 McNeese,McNeese 80-74 (72%) [71],5:00 pm FloSports,"George Town, Cayman Islands John Gray Gymnasium",41.618,,
157 San Jose St. vs.  110 Tulsa,Tulsa 78-74 (66%) [67],1:30 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",40.819,,
209 UTSA vs.  223 Georgia Southern,UTSA 85-84 (53%) [75],9:00 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",36.92,,
108 Winthrop at  39 Nebraska,Nebraska 89-77 (87%) [74],8:30 pm Big Ten Network,"Lincoln, NE Pinnacle Bank Arena",36.821,,
178 Oakland at  153 Montana,Montana 84-80 (64%) [71],9:00 pm ESPN+,"Missoula, MT Dahlberg Arena",36.822,,
235 Nebraska Omaha vs.  190 James Madison,James Madison 81-79 (58%) [70],7:00 pm ESPN+,"Miami, FL Ocean Bank Convocation Center",35.823,,
173 William & Mary vs.  234 Abilene Christian,William & Mary 78-75 (60%) [74],6:30 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",34.824,,
160 Portland St. at  268 Utah Tech,Portland St. 75-73 (58%) [70],9:00 pm ESPN+,"St. George, UT Burns Arena",34.425,,
254 Southeast Missouri vs.  189 Cal Poly,Cal Poly 84-80 (63%) [79],8:00 pm,"Flagstaff, AZ Rolle Activity Center",33.926,,
204 UTEP vs.  104 UAB,UAB 79-72 (74%) [72],4:00 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",33.827,,
139 Cal Baptist vs.  237 San Diego,Cal Baptist 77-72 (68%) [70],6:30 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",33.028,,
245 Delaware vs.  267 UNC Greensboro,Delaware 76-75 (53%) [69],1:30 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",32.929,,
240 Tennessee St. at  239 UNC Asheville,UNC Asheville 80-77 (60%) [72],6:30 pm ESPN+,"Asheville, NC Kimmel Arena",32.73,,
285 Houston Christian vs.  310 Bellarmine,Houston Christian 76-75 (55%) [69],7:00 pm,"Charleston, SC McAlister Field House",30.831,,
233 Rice at  144 Florida Gulf Coast,Florida Gulf Coast 79-73 (73%) [68],7:00 pm FloSports,"Fort Myers, FL Alico Arena",29.232,,
253 Northern Illinois at  185 Austin Peay,Austin Peay 76-70 (71%) [71],8:00 pm ESPN+,"Clarksville, TN F&M Bank Arena",28.433,,
335 East Texas A&M vs.  351 Army,East Texas A&M 75-73 (58%) [71],2:00 pm,"Hackensack, NJ Bogota Savings Bank Center",28.334,,
314 Eastern Illinois at  311 Central Arkansas,Central Arkansas 72-69 (60%) [69],7:30 pm ESPN+,"Conway, AR Farris Center",28.335,,
256 Hampton at  336 Maryland Eastern Shore,Hampton 63-62 (56%) [63],7:00 pm,"Princess Anne, MD Hytche Center",28.136,,
93 Northern Iowa vs.  241 Loyola Chicago,Northern Iowa 73-64 (80%) [64],4:00 pm CBS Sports Network,"Palm Springs, CA Acrisure Arena",27.037,,
345 North Carolina Central at  324 USC Upstate,USC Upstate 77-72 (66%) [70],7:00 pm ESPN+,"Spartanburg, SC Hodge Center",26.438,,
216 Samford vs.  331 Georgia St.,Samford 77-71 (72%) [68],3:00 pm FloSports,"Riviera Maya, Mexico Hard Rock Hotel Riviera Maya",25.739,,
155 Wright St. at  333 Stetson,Wright St. 77-70 (74%) [69],7:00 pm ESPN+,"DeLand, FL Edmunds Center",25.64,,
151 Kennesaw St. vs.  305 Oral Roberts,Kennesaw St. 88-79 (78%) [75],4:30 pm FloSports,"Fort Myers, FL Alico Arena",25.141,,
275 Drexel at  361 Morgan St.,Drexel 76-71 (71%) [68],6:00 pm,"Baltimore, MD Hill Field House",24.342,,
290 Lehigh at  169 Marist,Marist 70-62 (77%) [68],7:00 pm ESPN+,"Poughkeepsie, NY McCann Center",22.543,,
188 Quinnipiac at  69 UCF,UCF 88-73 (91%) [74],7:00 pm ESPN+,"Orlando, FL Addition Financial Arena",21.444,,
262 Eastern Washington at  106 North Texas,North Texas 79-66 (88%) [69],8:00 pm ESPN+,"Denton, TX The Super Pit",18.945,,
364 Coppin St. at  338 Rider,Rider 76-67 (80%) [69],7:00 pm ESPN+,"Lawrenceville, NJ Alumni Gymnasium",18.346,,
251 Boston University at  94 Penn St.,Penn St. 79-66 (89%) [64],7:00 pm Peacock,"University Park, PA Bryce Jordan Center",18.247,,
357 Chicago St. at  266 Purdue Fort Wayne,Purdue Fort Wayne 81-70 (83%) [70],7:00 pm ESPN+,"Fort Wayne, IN Memorial Coliseum",17.948,,
193 Campbell at  50 Wake Forest,Wake Forest 88-70 (95%) [74],7:00 pm ACC Network Extra,"Winston-Salem, NC Joel Coliseum",17.749,,
18 Michigan St. vs.  243 East Carolina,Michigan St. 82-61 (97%) [69],1:00 pm FOX Sports 2,"Fort Myers, FL Suncoast Credit Union Arena",16.65,,
228 Old Dominion at  40 Villanova,Villanova 83-63 (96%) [66],7:00 pm ESPN+,"Villanova, PA Finneran Pavilion",14.551,,
271 Cal St. Bakersfield at  64 Florida St.,Florida St. 88-69 (96%) [74],7:00 pm ACC Network Extra,"Tallahassee, FL Tucker Center",13.852,,
279 Mount St. Mary's at  34 Ohio St.,Ohio St. 85-63 (98%) [69],6:30 pm Big Ten Network,"Columbus, OH Value City Arena",11.353,,
350 South Carolina St. at  33 Missouri,Missouri 95-64 (99.7%) [73],8:00 pm SEC Network Plus,"Columbia, MO Mizzou Arena",8.154,,
365 Mississippi Valley St. at  66 Texas A&M,Texas A&M 92-58 (99.9%) [70],8:00 pm SEC Network Plus,"College Station, TX Reed Arena",6.455,,
NR Piedmont at  282 Charleston Southern,,7:30 pm ESPN+,"Charleston, SC Buccaneer Fieldhouse",0.056,,
NR San Francisco St. at  281 Sacramento St.,,10:00 pm ESPN+,"Sacramento, CA Hornet Pavilion",0.056,,
NR Rutgers Camden at  158 Saint Joseph's,,7:00 pm ESPN+,"Philadelphia, PA Hagan Arena",0.056,,
NR Salve Regina at  358 New Haven,,7:00 pm,"West Haven, CT The Hazell Center",0.056,,
NR Dominican IL at  222 Milwaukee,,7:00 pm ESPN+,"Milwaukee, WI UW-Milwaukee Panther Arena",0.056,,
NR Washington MD at  294 Loyola MD,,6:00 pm ESPN+,"Baltimore, MD Reitz Arena",0.056,,
NR Brescia at  248 Tennessee Martin,,7:00 pm ESPN+,"Martin, TN Elam Center",0.056,,
NR Virginia Lynchburg at  246 Norfolk St.,,7:00 pm,"Norfolk, VA Echols Memorial Hall",0.056,,
NR Waynesburg at  295 Cleveland St.,,7:00 pm ESPN+,"Cleveland, OH Woodling Gymnasium",0.056,,
NR Adrian at  301 Central Michigan,,7:00 pm ESPN+,"Mt. Pleasant, MI McGuirk Arena",0.056,,
NR UT Southern at  270 North Alabama,,1:00 pm ESPN+,"Florence, AL CB&S Bank Arena",0.056,,
