Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
262 Penn at  242 Drexel,Drexel 79-75 (64%) [71],7:00 pm FloSports,"Philadelphia, PA Daskalakis Athletic Center",30.622,,
244 Little Rock at  205 Texas St.,Texas St. 71-67 (65%) [66],8:00 pm ESPN+,"San Marcos, TX Strahan Coliseum",30.423,,
278 Alabama St. vs.  328 IU Indy,Alabama St. 86-83 (63%) [77],2:00 pm,"Colorado Springs, CO Clune Arena",30.124,,
255 Hampton at  253 Norfolk St.,Norfolk St. 69-66 (62%) [66],8:00 pm ESPN+,"Norfolk, VA Echols Memorial Hall",29.425,,
243 Coastal Carolina at  339 Western Illinois,Coastal Carolina 72-69 (59%) [65],7:00 pm ESPN+,"Macomb, IL Western Hall",29.226,,
321 USC Upstate at  308 West Georgia,West Georgia 80-76 (63%) [72],7:00 pm ESPN+,"Carollton, GA The Coliseum",28.827,,
188 SIUE at  326 Air Force,SIUE 67-64 (62%) [65],6:00 pm,"Colorado Springs, CO Clune Arena",28.728,,
336 Lafayette at  332 Stonehill,Stonehill 73-71 (59%) [69],6:00 pm,"Easton, MA Merkert Gymnasium",28.329,,
178 South Alabama at  109 UAB,UAB 80-71 (81%) [71],7:30 pm ESPN+,"Birmingham, AL Bartow Arena",28.23,,
331 Cal St. Fullerton at  295 Portland,Portland 80-76 (66%) [75],10:00 pm ESPN+,"Portland, OR Chiles Center",27.631,,
281 Evansville vs.  135 Oregon St.,Oregon St. 77-69 (75%) [67],8:00 pm ESPN+,"St. Thomas, VI Virgin Islands Sport & Fitness",27.332,,
345 Maryland Eastern Shore at  355 Canisius,Canisius 65-64 (54%) [64],7:00 pm ESPN+,"Buffalo, NY Koessler Athletic Center",27.033,,
291 UC Riverside at  196 San Diego,San Diego 80-73 (74%) [72],9:00 pm ESPN+,"San Diego, CA Jenny Craig Pavilion",26.134,,
223 Samford at  128 New Mexico St.,New Mexico St. 78-69 (79%) [68],9:00 pm ESPN+,"Las Cruces, NM Pan American Center",26.035,,
198 Austin Peay at  112 Tulsa,Tulsa 80-70 (82%) [71],8:00 pm ESPN+,"Tulsa, OK Reynolds Center",26.036,,
342 Holy Cross at  289 Sacred Heart,Sacred Heart 79-73 (70%) [69],7:00 pm ESPN+,"Fairfield, CT William Pitt Center - West Gym",25.337,,
161 Arkansas St. at  47 SMU,SMU 91-75 (93%) [75],9:00 pm ACC Network,"Dallas, TX Moody Coliseum",22.838,,
311 Charleston Southern at  204 East Carolina,East Carolina 82-73 (80%) [73],7:00 pm ESPN+,"Greenville, NC Williams Arena at Minges Colis",21.739,,
292 Morehead St. at  146 East Tennessee St.,East Tennessee St. 78-68 (81%) [69],7:00 pm ESPN+,"Johnson City, TN Freedom Hall Civic Center",21.74,,
299 Northern Illinois at  179 Loyola Chicago,Loyola Chicago 82-72 (81%) [69],8:00 pm ESPN+,"Chicago, IL Gentile Arena",21.641,,
300 Albany at  169 Siena,Siena 76-67 (80%) [69],7:00 pm ESPN+,"Albany, NY MVP Arena",21.442,,
201 UC Davis at  90 Colorado,Colorado 82-69 (89%) [71],9:00 pm ESPN+,"Boulder, CO CU Events Center",21.343,,
287 Grambling St. at  142 Cal Baptist,Cal Baptist 77-67 (82%) [70],10:00 pm ESPN+,"Riverside, CA Fowler Events Center",20.844,,
214 Georgia Southern at  68 Florida St.,Florida St. 93-77 (93%) [76],6:00 pm ACC Network Extra,"Tallahassee, FL Tucker Center",19.845,,
301 Georgia St. at  158 South Dakota St.,South Dakota St. 79-68 (83%) [70],8:00 pm,"Brookings, SD First Bank & Trust Arena",19.446,,
361 Morgan St. at  250 Old Dominion,Old Dominion 84-72 (86%) [71],7:00 pm ESPN+,"Norfolk, VA Chartway Arena",15.947,,
222 Nebraska Omaha at  40 LSU,LSU 91-71 (96%) [71],8:00 pm SEC Network Plus,"Baton Rouge, LA Maravich Assembly Center",15.848,,
276 Sacramento St. at  85 California,California 86-69 (94%) [72],10:00 pm ACC Network Extra,"Berkeley, CA Haas Pavilion",14.849,,
279 Louisiana at  71 Santa Clara,Santa Clara 82-65 (94%) [68],10:00 pm ESPN+,"Santa Clara, CA Leavey Center",14.85,,
325 Green Bay vs.  81 Yale,Yale 85-69 (93%) [68],12:30 pm ESPN+,"St. Thomas, VI Virgin Islands Sport & Fitness",14.751,,
249 Purdue Fort Wayne at  57 Saint Louis,Saint Louis 90-71 (96%) [75],8:00 pm ESPN+,"St. Louis, MO Chaifetz Arena",14.152,,
286 Manhattan at  72 Texas A&M,Texas A&M 90-72 (96%) [72],8:00 pm SEC Network Plus,"College Station, TX Reed Arena",13.853,,
351 Army at  166 Marist,Marist 73-60 (89%) [68],7:00 pm ESPN+,"Poughkeepsie, NY McCann Center",13.354,,
307 Northwestern St. at  99 Grand Canyon,Grand Canyon 84-67 (94%) [69],9:00 pm,"Phoenix, AZ Global Credit Union Arena",13.155,,
297 Central Connecticut at  96 Rutgers,Rutgers 78-61 (94%) [69],6:30 pm BTN Plus,"Piscataway, NJ Jersey Mike's Arena",12.456,,
263 Merrimack at  8 Florida,Florida 92-64 (99%) [73],7:00 pm SEC Network Plus,"Gainesville, FL O'Connell Center",12.257,,
306 Denver at  50 Colorado St.,Colorado St. 89-67 (97%) [67],9:00 pm,"Fort Collins, CO Moby Arena",10.958,,
302 Jackson St. at  43 Arkansas,Arkansas 90-66 (99%) [73],8:00 pm SEC Network Plus,"Fayetteville, AR Bud Walton Arena",10.459,,
283 Presbyterian at  28 UCLA,UCLA 76-54 (98%) [62],10:30 pm Big Ten Network,"Los Angeles, CA Pauley Pavilion",10.36,,
293 Loyola MD at  11 Kentucky,Kentucky 92-63 (99.6%) [71],7:00 pm SEC Network Plus,"Lexington, KY Rupp Arena",10.261,,
322 Detroit Mercy at  21 Michigan St.,Michigan St. 89-60 (99.5%) [72],6:30 pm Big Ten Network,"East Lansing, MI Breslin Center",9.162,,
317 Niagara at  1 Duke,Duke 88-56 (99.8%) [67],7:00 pm ACC Network,"Durham, NC Cameron Indoor Stadium",8.763,,
NR Nobel at  265 Utah Tech,,9:00 pm ESPN+,"St. George, UT Burns Arena",0.064,,
NR Regent at  175 William & Mary,,11:00 am FloSports,"Williamsburg, VA Kaplan Arena",0.064,,
NR Erskine at  226 Wofford,,7:00 pm ESPN+,"Spartanburg, SC Richardson Indoor Stadium",0.064,,
NR Justice at  232 Idaho St.,,3:00 pm ESPN+,"Pocatello, ID Reed Gym",0.064,,
NR Buena Vista at  137 Drake,,7:30 pm ESPN+,"Des Moines, IA Knapp Center",0.064,,
NR Fisk at  110 Belmont,,7:30 pm ESPN+,"Nashville, TN Curb Event Center",0.064,,
