Date,Team1,Team2,Prediction,Spread
2026-02-25,158 Oakland at 311 IU Indy Horz,6:30 pm ESPN+,"Indianapolis, IN
The Jungle",27.241
2026-02-25,258 East Carolina at 340 UTSA Amer,8:00 pm ESPN+,"San Antonio, TX
UTSA Convocation Center",26.642
2026-02-25,221 Indiana St. at 116 Southern Illinois MVC,8:00 pm ESPN+,"Carbondale, IL
Banterra Center",26.343
2026-02-25,168 Lipscomb at 318 West Georgia ASun,7:00 pm ESPN+,"Carollton, GA
The Coliseum",26.344
2026-02-25,248 Wofford at 133 East Tennessee St. SC,7:00 pm ESPN+,"Johnson City, TN
Freedom Hall Civic Center",25.645
2026-02-25,303 Lehigh at 227 American PL,7:00 pm ESPN+,"Washington, DC
Bender Arena",24.346
2026-02-25,327 Holy Cross at 265 Boston University PL,7:00 pm ESPN+,"Boston, MA
Case Gym",23.447
2026-02-25,128 Maryland at 11 Nebraska B10,7:00 pm Big Ten Network,"Lincoln, NE
Pinnacle Bank Arena",22.948
2026-02-25,144 Navy at 320 Loyola MD PL,7:00 pm ESPN+,"Baltimore, MD
Reitz Arena",22.449
2026-02-25,329 Lafayette at 240 Colgate PL,7:00 pm ESPN+,"Hamilton, NY
Cotterell Court",20.950
2026-02-25,205 Portland at 10 Gonzaga WCC,9:00 pm ESPN+,"Spokane, WA
McCarthey Athletic Center",15.351
2026-02-25,348 Louisiana Monroe at 191 South Alabama SB,8:30 pm ESPN+,"Mobile, AL
Mitchell Center",12.652
2026-02-25,352 The Citadel at 193 Furman SC,6:00 pm ESPN+,"Greenville, SC
Timmons Arena",11.453
2026-02-25,307 Evansville at 55 Belmont MVC,7:30 pm ESPN+,"Nashville, TN
Curb Event Center",11.054
