Game,Prediction,Time (ET),Location,Thrill Score,Come back,Excite ment
173 William & Mary vs.  206 UTEP,William & Mary 78-76 (55%) [74],4:00 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",37.219,,
174 Oakland vs.  207 Lamar,Oakland 77-76 (55%) [69],4:00 pm ESPN+,"Missoula, MT Dahlberg Arena",36.92,,
159 Youngstown St. vs.  223 Georgia Southern,Youngstown St. 85-82 (61%) [75],6:30 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",36.821,,
210 Massachusetts vs.  156 Oregon St.,Oregon St. 76-74 (59%) [71],12:30 pm,"St. Thomas, VI Virgin Islands Sport & Fitness",36.322,,
187 James Madison at  208 FIU,FIU 80-77 (59%) [71],7:00 pm ESPN+,"Miami, FL Ocean Bank Convocation Center",35.723,,
232 Stony Brook vs.  186 Pacific,Pacific 76-74 (57%) [68],11:30 am,"Daytona Beach, FL Ocean Center",35.024,,
148 Kennesaw St. vs.  236 Rice,Kennesaw St. 83-78 (65%) [72],4:30 pm FloSports,"Fort Myers, FL Alico Arena",35.025,,
184 Cal Poly at  276 Northern Arizona,Cal Poly 81-79 (56%) [76],8:00 pm ESPN+,"Flagstaff, AZ Rolle Activity Center",34.926,,
81 Liberty vs.  176 Vermont,Liberty 80-71 (78%) [66],1:30 pm ESPNU,"Kissimmee, FL State Farm Field House",34.827,,
238 Abilene Christian vs.  211 UTSA,UTSA 74-73 (54%) [71],9:00 pm,"Jacksonville, FL Adams-Jenkins Sports Complex",34.328,,
219 Princeton vs.  134 Bradley,Bradley 73-69 (66%) [69],7:00 pm ESPNU,"Kissimmee, FL State Farm Field House",33.929,,
149 Middle Tennessee vs.  53 George Washington,George Washington 84-73 (84%) [74],5:00 pm FloSports,"George Town, Cayman Islands John Gray Gymnasium",33.63,,
124 Rutgers vs.  13 Tennessee,Tennessee 78-64 (91%) [69],1:00 pm TNT,"Las Vegas, NV MGM Grand Garden Arena",32.731,,
188 Bethune Cookman vs.  268 Jacksonville,Bethune Cookman 74-71 (62%) [68],2:00 pm,"Daytona Beach, FL Ocean Center",32.032,,
310 Bellarmine at  348 The Citadel,Bellarmine 82-81 (54%) [70],7:00 pm ESPN+,"Charleston, SC McAlister Field House",30.733,,
267 Eastern Kentucky at  235 Northern Kentucky,Northern Kentucky 80-76 (66%) [71],7:00 pm ESPN+,"Highland Heights, KY Truist Arena",30.334,,
202 Ohio vs.  84 George Mason,George Mason 78-68 (81%) [69],6:00 pm CBS Sports Network,"Daytona Beach, FL Ocean Center",30.135,,
280 Sacred Heart at  251 Central Connecticut,Central Connecticut 73-69 (61%) [69],7:00 pm,"New Britain, CT Detrick Gymnasium",29.936,,
265 Elon at  214 Appalachian St.,Appalachian St. 75-71 (66%) [66],6:30 pm ESPN+,"Boone, NC Holmes Convocation Center",29.637,,
335 East Texas A&M at  357 Fairleigh Dickinson,East Texas A&M 79-77 (55%) [73],12:00 pm,"Hackensack, NJ Bogota Savings Bank Center",29.438,,
290 Grambling St. at  261 UC Riverside,UC Riverside 74-70 (65%) [70],3:00 pm ESPN+,"Riverside, CA Student Recreation Center",28.439,,
333 Kansas City at  322 Lindenwood,Lindenwood 77-73 (63%) [73],7:00 pm ESPN+,"Saint Charles, MO Robert F. Hyland Arena",27.84,,
239 Buffalo vs.  328 VMI,Buffalo 81-76 (69%) [70],2:30 pm,"Fort Myers, FL Suncoast Credit Union Arena",27.441,,
297 Green Bay vs.  160 Iona,Iona 81-74 (74%) [71],3:00 pm,"St. Thomas, VI Virgin Islands Sport & Fitness",26.942,,
137 Bowling Green vs.  287 Bucknell,Bowling Green 78-70 (76%) [72],12:00 pm,"Fort Myers, FL Suncoast Credit Union Arena",26.343,,
279 LIU at  213 Missouri St.,Missouri St. 74-68 (72%) [70],8:00 pm ESPN+,"Springfield, MO Great Southern Bank Arena",25.944,,
300 Louisiana at  203 UC Davis,UC Davis 72-66 (73%) [67],9:00 pm ESPN+,"Davis, CA University Credit Union Center",25.145,,
162 Siena at  343 Holy Cross,Siena 74-66 (75%) [65],6:00 pm ESPN+,"Worcester, MA Hart Center Arena",23.446,,
306 Oral Roberts at  144 Florida Gulf Coast,Florida Gulf Coast 84-73 (84%) [71],7:00 pm FloSports,"Fort Myers, FL Alico Arena",19.847,,
205 New Orleans at  70 Mississippi St.,Mississippi St. 88-72 (93%) [73],7:30 pm SEC Network Plus,"Starkville, MS Humphrey Coliseum",19.248,,
201 UT Rio Grande Valley at  7 Illinois,Illinois 95-69 (99%) [73],8:00 pm Big Ten Network,"Champaign, IL State Farm Center",15.849,,
230 Eastern Michigan at  10 Louisville,Louisville 94-68 (99%) [73],7:00 pm ACC Network,"Louisville, KY KFC Yum! Center",13.75,,
270 Radford at  44 SMU,SMU 93-71 (98%) [74],8:00 pm ACC Network Extra,"Dallas, TX Moody Coliseum",13.351,,
266 Denver at  5 Arizona,Arizona 93-65 (99.5%) [70],10:30 pm CBS Sports Network,"Tucson, AZ McKale Memorial Center",11.752,,
107 Belmont vs.  360 Saint Francis,Belmont 85-67 (96%) [74],1:30 pm FloSports,"Fort Myers, FL Alico Arena",10.653,,
350 NJIT at  45 Cincinnati,Cincinnati 83-55 (99%) [73],7:00 pm ESPN+,"Cincinnati, OH Fifth Third Arena",7.354,,
NR Hawaii Pacific at  102 Hawaii,,12:00 am ESPN+,"Honolulu, HI Stan Sheriff Center",0.055,,
150 Washington St. at  NR Chaminade,,9:00 pm ESPNU,"Lahaina, HI Lahaina Civic Center",0.055,,
NR Marywood at  286 American,,7:00 pm ESPN+,"Washington, DC Bender Arena",0.055,,
NR Nobel at  132 UC Santa Barbara,,9:00 pm ESPN+,"Santa Barbara, CA Thunderdome",0.055,,
NR Notre Dame of Maryland at  292 UMBC,,6:00 pm ESPN+,"Baltimore, MD Chesapeake Employers Insurance",0.055,,
NR Texas Lutheran at  199 Texas St.,,7:00 pm ESPN+,"San Marcos, TX Strahan Coliseum",0.055,,
