rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
169,Mercer,Mercer,2.43593734467237,-2.72798122186455,-0.292043877192174,2.34666951005063,-32.6392063013529,122,238,70.3361022,78,166,42,201,0.586206896551724,0.275862068965517,0.310344827586207,17,8,16,13,#FFF4E6,#DFEBF5,#FDFDFE,#FFF5D9,#ADC5C1,Mercer performs at a similar level against both good and bad teams.,Mercer plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
170,Merrimack,Merrimack 📈,-2.40466811611116,2.09474607203537,-0.309922044075792,-19.8286598203972,-31.8867373620297,223,122,64.8048773,359,167,165,212,0.411764705882353,0.411764705882353,0,14,14,23,11,#E6F0F7,#FFF4E8,#FDFDFE,#A3CCD4,#AFC6C1,Merrimack plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Merrimack plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
171,Samford,Samford 📈,1.78015687130658,-2.17576867566451,-0.395611804357937,20.4109990388156,-0.606351084995611,133,221,68.731115605,168,168,148,186,0.6,0.566666666666667,0.0333333333333333,18,17,16,14,#FFF7EC,#E6EFF7,#FCFDFE,#FFAEA4,#EDE6BC,Samford plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Samford performs at a similar level regardless of the pace of the game.
172,Appalachian State,Appalachian State 💥,-2.76227679391806,2.24488716566065,-0.517389628257414,53.4801880764719,-9.93003753241188,230,115,64.62390005,361,169,278,225,0.666666666666667,0.433333333333333,0.233333333333333,20,13,17,13,#E3EDF6,#FFF4E6,#FBFDFE,#C33155,#DBDCBD,Appalachian State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Appalachian State performs at a similar level regardless of the pace of the game.
173,Monmouth,Monmouth,-2.38953298653876,1.83514052551353,-0.554392461025233,21.4405285319962,38.5790742168859,222,129,68.411870375,190,170,328,153,0.393939393939394,0.545454545454545,-0.151515151515151,13,18,18,15,#E6F0F8,#FFF6EA,#FBFCFE,#FFAAA1,#F7B68F,Monmouth plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Monmouth plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
174,Fresno State,Fresno State,-2.87030999096913,2.29037253248627,-0.579937458482858,-28.7071797469543,6.00309176445949,233,113,69.69712895,117,171,147,158,0.310344827586207,0.379310344827586,-0.0689655172413793,9,11,12,18,#E2EDF6,#FFF3E5,#FBFCFD,#84B4CC,#F0DFB5,Fresno State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Fresno State performs at a similar level regardless of the pace of the game.
175,Central Arkansas,Central Arkansas,-0.598307934198657,-0.112011341178282,-0.710319275376939,-31.3398324117048,-0.312156914177122,184,170,69.47424785,129,173,48,224,0.71875,0.65625,0.0625,23,21,20,12,#F8FBFD,#FDFEFE,#FAFCFD,#7DACC9,#EEE6BC,Central Arkansas plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Central Arkansas performs at a similar level regardless of the pace of the game.
176,Austin Peay,Austin Peay,-0.11440228461992,-0.654755757241253,-0.769158041861173,1.00828709673345,-57.4503029043937,173,184,69.9716983,102,174,93,157,0.517241379310345,0.344827586206897,0.172413793103448,15,10,20,9,#FDFEFE,#F7FAFC,#FAFCFD,#FFFBDD,#7BACC5,Austin Peay performs at a similar level against both good and bad teams.,Austin Peay plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
177,New Mexico State,New Mexico State,0.83634870842922,-1.63745902975293,-0.801110321323709,45.956922431936,-32.9111914993914,155,209,67.32975725,259,175,189,156,0.392857142857143,0.571428571428571,-0.178571428571429,11,16,13,15,#FFFBF6,#ECF3F9,#FAFBFD,#DB4A64,#ACC5C1,New Mexico State plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,New Mexico State plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
178,Oregon State,Oregon State,0.0881737339622476,-0.94903400385767,-0.860860269895422,2.25321604240531,-16.9588409861824,170,190,66.40971405,301,176,153,143,0.363636363636364,0.545454545454545,-0.181818181818182,12,18,17,16,#FFFEFE,#F4F8FB,#F9FBFD,#FFF6D9,#CCD5BE,Oregon State performs at a similar level against both good and bad teams.,Oregon State performs at a similar level regardless of the pace of the game.
