current_team,logo
George Washington,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/45.png&h=200&w=200
Georgetown,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/46.png&h=200&w=200
Georgia,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Georgia Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia St.,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Georgia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Gonzaga,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png&h=200&w=200
Grambling St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2755.png&h=200&w=200
Grand Canyon,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2253.png&h=200&w=200
Green Bay,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2739.png&h=200&w=200
Hampton,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2261.png&h=200&w=200
Harvard,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/108.png&h=200&w=200
Hawaii,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/62.png&h=200&w=200
High Point,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2272.png&h=200&w=200
Hofstra,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2275.png&h=200&w=200
Holy Cross,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/107.png&h=200&w=200
Houston,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Houston Christian,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2277.png&h=200&w=200
Howard,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/47.png&h=200&w=200
Idaho,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/70.png&h=200&w=200
Idaho St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/304.png&h=200&w=200
Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Illinois Chicago,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/82.png&h=200&w=200
Illinois St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2287.png&h=200&w=200
Incarnate Word,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2916.png&h=200&w=200
Indiana,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Indiana St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/282.png&h=200&w=200
Iona,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/314.png&h=200&w=200
Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Iowa St.,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
IU Indy,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/85.png&h=200&w=200
Jackson St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2296.png&h=200&w=200
Jacksonville,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/294.png&h=200&w=200
Jacksonville St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/55.png&h=200&w=200
